rank,ticker,theme,action,total_score,market_score,theme_score,leader_score,setup_score,breakout_score,price,ema8,ema21,ema50,relative_20d_pct,relative_60d_pct,volume_ratio,gap_to_breakout_pct,avg_dollar_volume_20d,trigger,stop,target_2r,stop_distance_pct,max_position_pct_at_configured_risk
56,AVAV,aerospace_space,DEFENSIVE,11.72,0.0,3.55,2.76,4.41,1.0,156.99,150.23,153.26,159.11,-11.35,-8.87,1.14,22.29,343999090.0,192.18,175.02,226.51,8.93,11.2
57,CCJ,nuclear_power,DEFENSIVE,10.99,0.0,5.45,1.46,4.09,0.0,91.21,96.32,97.77,98.22,-5.5,-15.77,0.84,22.29,243597696.0,111.65,104.25,126.46,6.63,15.08
58,TER,robotics_automation,DEFENSIVE,10.24,0.0,8.65,0.0,1.59,0.0,332.85,353.48,362.03,368.0,-22.88,-25.39,0.97,33.39,826909289.0,444.44,406.93,519.47,8.44,11.85
59,LEU,nuclear_power,DEFENSIVE,10.18,0.0,5.45,0.73,0.0,4.0,142.12,159.97,170.17,174.64,-20.83,-27.17,1.23,46.76,96998737.0,208.78,185.14,256.06,11.32,8.83
60,HWM,aerospace_space,DEFENSIVE,9.76,0.0,3.55,2.88,2.33,1.0,224.67,235.03,250.79,261.98,-20.31,-20.47,1.06,30.59,857790603.0,293.69,273.28,334.52,6.95,14.39
61,MU,semiconductors,DEFENSIVE,8.84,0.0,4.15,1.27,3.42,0.0,927.6,959.02,953.62,931.54,-6.34,-19.61,0.8,12.38,23556510698.0,1043.44,957.71,1214.9,8.22,12.17
62,AMAT,semiconductors,DEFENSIVE,8.63,0.0,4.15,0.0,4.48,0.0,421.17,444.91,466.69,491.25,-19.26,-33.1,0.9,28.03,2625494263.0,539.77,506.79,605.74,6.11,16.36
63,SMR,nuclear_power,DEFENSIVE,8.52,0.0,5.45,3.07,0.0,0.0,8.43,9.26,9.41,9.52,-6.29,-29.62,0.93,34.88,314021185.0,11.38,9.92,14.29,12.8,7.81
64,MRVL,semiconductors,DEFENSIVE,8.06,0.0,4.15,2.5,1.41,0.0,221.7,224.37,223.48,221.17,-3.41,-30.03,0.53,14.84,5351372245.0,254.85,228.76,307.04,10.24,9.77
65,KLAC,semiconductors,DEFENSIVE,7.76,0.0,4.15,0.0,3.61,0.0,168.02,175.8,181.84,191.83,-16.36,-36.62,0.85,24.45,1549222090.0,209.31,194.28,239.37,7.18,13.93
66,OKLO,nuclear_power,DEFENSIVE,7.35,0.0,5.45,1.3,0.59,0.0,35.98,38.49,40.41,44.0,-16.03,-42.61,0.73,28.4,359002053.0,46.25,41.13,56.48,11.06,9.04
67,LRCX,semiconductors,DEFENSIVE,7.22,0.0,4.15,0.0,2.07,1.0,270.87,291.44,301.6,309.83,-19.24,-31.8,1.11,27.47,2150403344.0,345.63,319.12,398.63,7.67,13.04
68,NNE,nuclear_power,DEFENSIVE,6.36,0.0,5.45,0.0,0.91,0.0,15.78,16.96,17.7,18.7,-17.47,-45.49,0.72,26.36,25191741.0,19.96,17.87,24.15,10.49,9.53
69,ARM,semiconductors,DEFENSIVE,5.75,0.0,4.15,0.29,1.32,0.0,241.83,249.4,252.58,263.43,-8.93,-46.4,0.95,18.74,957033405.0,287.44,258.3,345.72,10.14,9.86
70,ASTS,aerospace_space,DEFENSIVE,4.7,0.0,3.55,0.0,1.15,0.0,58.77,60.59,62.27,66.42,-15.41,-28.56,0.77,26.7,544010113.0,74.53,67.15,89.3,9.91,10.1
71,RXRX,biotech,FILTERED,21.05,0.0,12.5,6.88,1.68,0.0,3.24,3.31,3.33,3.31,6.16,-1.12,0.72,14.2,51924250.0,3.7,3.35,4.41,9.6,10.42
